"gender","type","year","y","wr"
"men","200 metres",2017,10.1163378856854,10.4220948410631
"men","200 metres",2018,10.1781170483461,10.4220948410631
"men","200 metres",2019,10.2564102564103,10.4220948410631
"men","200 metres",2020,10.1214574898785,10.4220948410631
"men","200 metres",2021,10.2459016393443,10.4220948410631
"men","200 metres",2022,10.3573278094252,10.4220948410631
"men","200 metres",2023,10.2722136620442,10.4220948410631
"men","200 metres",2024,10.2774922918808,10.4220948410631
"men","200m backstroke LCM",2000,1.71291538198013,1.78699070764832
"men","200m backstroke LCM",2001,1.70750448219927,1.78699070764832
"men","200m backstroke LCM",2002,1.73686495874946,1.78699070764832
"men","200m backstroke LCM",2003,1.72681747539285,1.78699070764832
"men","200m backstroke LCM",2004,1.74307129161583,1.78699070764832
"men","200m backstroke LCM",2005,1.74428745857317,1.78699070764832
"men","200m backstroke LCM",2006,1.74764068507515,1.78699070764832
"men","200m backstroke LCM",2007,1.74947515745276,1.78699070764832
"men","200m backstroke LCM",2008,1.75530981218185,1.78699070764832
"men","200m backstroke LCM",2009,1.78699070764832,1.78699070764832
"men","200m backstroke LCM",2010,1.75254118471784,1.78699070764832
"men","200m backstroke LCM",2011,1.77053824362606,1.78699070764832
"men","200m backstroke LCM",2012,1.76351291773212,1.78699070764832
"men","200m backstroke LCM",2013,1.75762369276738,1.78699070764832
"men","200m backstroke LCM",2014,1.76584849019954,1.78699070764832
"men","200m backstroke LCM",2015,1.76725280551383,1.78699070764832
"men","200m backstroke LCM",2016,1.76025347650062,1.78699070764832
"men","200m backstroke LCM",2017,1.76040841475222,1.78699070764832
"men","200m backstroke LCM",2018,1.76429075511644,1.78699070764832
"men","200m backstroke LCM",2019,1.7636684303351,1.78699070764832
"men","200m backstroke LCM",2020,1.73580975525082,1.78699070764832
"men","200m backstroke LCM",2021,1.76631634725779,1.78699070764832
"men","200m backstroke LCM",2022,1.74641983932937,1.78699070764832
"men","200m backstroke LCM",2023,1.75223409847556,1.78699070764832
"men","200m backstroke LCM",2024,1.75039383861369,1.78699070764832
"men","200m backstroke SCM",2000,1.79179358537896,1.89340149578718
"men","200m backstroke SCM",2001,1.79179358537896,1.89340149578718
"men","200m backstroke SCM",2002,1.79904650535216,1.89340149578718
"men","200m backstroke SCM",2003,1.79533213644524,1.89340149578718
"men","200m backstroke SCM",2004,1.80962721679334,1.89340149578718
"men","200m backstroke SCM",2005,1.81110205560083,1.89340149578718
"men","200m backstroke SCM",2006,1.83402109124255,1.89340149578718
"men","200m backstroke SCM",2007,1.82049881667577,1.89340149578718
"men","200m backstroke SCM",2008,1.85459940652819,1.89340149578718
"men","200m backstroke SCM",2009,1.88483649043445,1.89340149578718
"men","200m backstroke SCM",2010,1.87476565429321,1.89340149578718
"men","200m backstroke SCM",2011,1.83654729109275,1.89340149578718
